C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
0.2083,0.2036,0.2014,0.1911,0.1942,0.1814,0.1886,0.1783,0.1825,0.1876,0.1831,,0.209,0.1998,0.1993,0.1972,0.186,0.188,0.1878,0.1926,0.186,0.1822,0.1752,,0.1986,0.2025,0.1933,0.196,0.2027,0.1837,0.1837,0.1788,0.1836,0.1767,0.1796,,0.2015,0.1965,0.1965,0.1954,0.1837,0.1835,0.1949,0.1944,0.1818,0.1858,0.1827,
0.224,0.214,0.2116,0.2018,0.2024,0.1919,0.1919,0.1823,0.1837,0.1898,0.1841,,0.2189,0.2136,0.2089,0.2059,0.195,0.1943,0.1919,0.193,0.1861,0.1835,0.1757,,0.2096,0.2136,0.2041,0.2019,0.2109,0.1891,0.1872,0.182,0.1843,0.1776,0.181,,0.2113,0.2072,0.2066,0.2047,0.1912,0.1882,0.1985,0.1958,0.1835,0.1873,0.1827,
0.2307,0.2246,0.2226,0.209,0.2112,0.1913,0.1956,0.1859,0.1849,0.1888,0.1842,,0.2313,0.2193,0.2197,0.2156,0.2018,0.2005,0.1955,0.1955,0.1878,0.1841,0.1761,,0.2185,0.224,0.2148,0.2112,0.2208,0.195,0.1915,0.1831,0.1856,0.1805,0.181,,0.2215,0.2182,0.2167,0.2127,0.1993,0.1935,0.2029,0.1981,0.184,0.1887,0.1829,
0.24,0.237,0.2325,0.219,0.2198,0.195,0.1991,0.1858,0.1856,0.1911,0.1849,,0.2404,0.2295,0.2284,0.2229,0.2098,0.2059,0.1993,0.1984,0.188,0.1855,0.1771,,0.2274,0.2331,0.2234,0.2191,0.2276,0.1998,0.195,0.1878,0.187,0.1833,0.1817,,0.2319,0.2261,0.2258,0.2218,0.2063,0.1998,0.2068,0.2003,0.1867,0.1891,0.1815,
0.2491,0.2444,0.2405,0.2266,0.2258,0.2016,0.2021,0.1885,0.187,0.1905,0.1857,,0.2471,0.237,0.2373,0.2312,0.2169,0.2109,0.2033,0.1998,0.1895,0.1857,0.1787,,0.2368,0.2402,0.2322,0.2268,0.2343,0.2046,0.2009,0.1886,0.1901,0.181,0.1824,,0.2403,0.2342,0.2343,0.2303,0.2139,0.2049,0.2099,0.202,0.1873,0.1882,0.1831,
0.2582,0.2513,0.2484,0.2341,0.2315,0.2057,0.2063,0.1904,0.1876,0.1921,0.1863,,0.2566,0.245,0.2475,0.2391,0.2235,0.2165,0.2097,0.2029,0.1909,0.1868,0.1792,,0.244,0.2487,0.2411,0.2352,0.2413,0.2116,0.2239,0.1899,0.1895,0.1816,0.1827,,0.2481,0.2417,0.2433,0.2385,0.2193,0.2095,0.2137,0.2046,0.1882,0.1893,0.181,
0.2666,0.2588,0.2561,0.2412,0.2377,0.212,0.2098,0.1915,0.189,0.1931,0.1884,,0.2661,0.2545,0.2544,0.2474,0.2299,0.2217,0.212,0.205,0.1919,0.1882,0.1797,,0.2527,0.2564,0.2484,0.2427,0.2479,0.2168,0.2169,0.1914,0.1904,0.1832,0.1831,,0.2564,0.2504,0.251,0.2452,0.2254,0.2139,0.2162,0.2065,0.192,0.1916,0.1838,
0.2749,0.2698,0.2641,0.2477,0.2454,0.2154,0.2121,0.1928,0.1905,0.1938,0.1877,,0.2775,0.2663,0.2619,0.2538,0.2361,0.2257,0.2146,0.2057,0.1935,0.1889,0.1801,,0.2589,0.2641,0.2568,0.2492,0.254,0.2189,0.2086,0.1941,0.1917,0.1819,0.1832,,0.2634,0.2602,0.2588,0.2544,0.2315,0.219,0.2185,0.2081,0.191,0.1907,0.1853,
0.2816,0.2745,0.2706,0.2547,0.2487,0.2196,0.2146,0.1951,0.1913,0.1953,0.188,,0.2813,0.269,0.27,0.2605,0.2418,0.2291,0.2176,0.2085,0.1946,0.1889,0.181,,0.2648,0.2742,0.2617,0.2551,0.2617,0.2221,0.2124,0.1951,0.1928,0.1831,0.1838,,0.2718,0.264,0.2652,0.2587,0.2367,0.2238,0.2212,0.2108,0.1925,0.1933,0.1849,
0.2881,0.2803,0.2771,0.2605,0.2548,0.2245,0.2177,0.1977,0.1925,0.1953,0.1888,,0.2902,0.2751,0.277,0.2671,0.2469,0.233,0.222,0.2095,0.1955,0.1907,0.1811,,0.2767,0.2786,0.2688,0.2615,0.2657,0.226,0.215,0.2023,0.1941,0.1841,0.1839,,0.2785,0.27,0.2714,0.2643,0.2425,0.2278,0.2251,0.2121,0.1932,0.1914,0.185,
0.296,0.2867,0.2842,0.2656,0.2604,0.2282,0.2221,0.1986,0.1935,0.1972,0.19,,0.2967,0.2829,0.2811,0.2732,0.2528,0.2374,0.2232,0.2109,0.1965,0.1912,0.1837,,0.2797,0.2853,0.275,0.2684,0.2709,0.231,0.2185,0.1989,0.2013,0.1853,0.1878,,0.2846,0.2806,0.2797,0.2717,0.2472,0.2314,0.2269,0.2136,0.1943,0.193,0.1852,
0.302,0.294,0.2902,0.2722,0.2653,0.2311,0.2233,0.2,0.1946,0.198,0.1891,,0.3046,0.2877,0.2881,0.28,0.258,0.2407,0.2254,0.2136,0.1977,0.1913,0.1826,,0.2849,0.2917,0.2835,0.2734,0.278,0.24,0.2201,0.2009,0.2003,0.1845,0.1846,,0.2923,0.2836,0.2854,0.2763,0.2549,0.2336,0.2297,0.2162,0.1948,0.1923,0.1849,
0.308,0.2988,0.2951,0.2762,0.2708,0.2347,0.2257,0.2017,0.1951,0.1968,0.189,,0.3104,0.2944,0.2931,0.2847,0.2626,0.2455,0.2297,0.214,0.1982,0.192,0.1823,,0.2913,0.2977,0.2876,0.2781,0.2823,0.2434,0.2239,0.2036,0.1978,0.1867,0.1853,,0.2966,0.2888,0.2905,0.288,0.2566,0.2394,0.2337,0.2175,0.1951,0.1922,0.1859,
0.3145,0.3046,0.3009,0.2813,0.2752,0.2384,0.2282,0.2029,0.1955,0.1981,0.1902,,0.3164,0.3002,0.2991,0.2907,0.2672,0.2491,0.231,0.218,0.1992,0.1923,0.1837,,0.3005,0.3027,0.2921,0.2848,0.288,0.2413,0.2272,0.2038,0.1976,0.1859,0.1859,,0.3048,0.2946,0.2957,0.2876,0.2614,0.2415,0.2349,0.2198,0.1956,0.1933,0.1888,
0.3194,0.3103,0.3069,0.2859,0.2808,0.2426,0.2328,0.2047,0.1962,0.198,0.1902,,0.3229,0.3057,0.3045,0.2966,0.2735,0.2532,0.2344,0.218,0.2005,0.1952,0.1827,,0.3039,0.3094,0.2981,0.2893,0.2913,0.244,0.2303,0.2047,0.2078,0.1863,0.1863,,0.3086,0.2996,0.2998,0.292,0.2652,0.2445,0.2383,0.2206,0.1965,0.1937,0.1863,
0.3242,0.3171,0.311,0.2918,0.2844,0.2455,0.234,0.2064,0.1981,0.1991,0.191,,0.3281,0.3109,0.3093,0.3012,0.2782,0.256,0.2369,0.2202,0.202,0.1959,0.1834,,0.308,0.314,0.3023,0.2935,0.296,0.2483,0.2307,0.2077,0.2072,0.1861,0.187,,0.313,0.3052,0.3057,0.2981,0.2693,0.2483,0.2406,0.2224,0.198,0.1941,0.1866,
0.3293,0.3208,0.3174,0.2958,0.2883,0.2481,0.2361,0.2093,0.1981,0.1988,0.1905,,0.3335,0.3188,0.3152,0.3046,0.2802,0.2594,0.239,0.2215,0.2024,0.1951,0.1915,,0.3151,0.3188,0.3074,0.299,0.3002,0.2504,0.2337,0.2082,0.2052,0.1877,0.187,,0.3185,0.3109,0.3102,0.3028,0.2733,0.2513,0.2428,0.2239,0.1983,0.1954,0.1877,
0.3345,0.3256,0.321,0.2999,0.2943,0.2519,0.2398,0.2099,0.1993,0.2002,0.1909,,0.3386,0.3215,0.3193,0.3092,0.2845,0.2628,0.2435,0.2247,0.2031,0.1945,0.1839,,0.3179,0.3242,0.3116,0.3033,0.3056,0.2532,0.2357,0.2101,0.2023,0.1896,0.1886,,0.3242,0.3129,0.3165,0.3054,0.2774,0.2551,0.2524,0.2268,0.1993,0.1953,0.1872,
0.3387,0.3321,0.3247,0.3043,0.2971,0.2543,0.2402,0.2113,0.2014,0.2005,0.1927,,0.3425,0.3242,0.3231,0.3147,0.2882,0.2671,0.2439,0.2243,0.2048,0.1989,0.1849,,0.3225,0.3308,0.3155,0.3066,0.3124,0.2565,0.2384,0.2125,0.2024,0.1889,0.189,,0.3296,0.3175,0.3183,0.3096,0.2822,0.2579,0.2479,0.2271,0.2005,0.1959,0.1878,
0.3521,0.3345,0.3293,0.3079,0.3015,0.2579,0.2453,0.212,0.201,0.2009,0.193,,0.348,0.3288,0.3278,0.3173,0.2926,0.2687,0.2465,0.2261,0.2053,0.1963,0.1851,,0.3269,0.332,0.3204,0.3106,0.3127,0.2596,0.2409,0.2129,0.2027,0.1892,0.188,,0.3327,0.3215,0.3225,0.3141,0.2873,0.2617,0.2541,0.2285,0.2013,0.1966,0.1879,
0.3481,0.3385,0.3345,0.3115,0.3059,0.2603,0.2457,0.2138,0.203,0.2016,0.1927,,0.352,0.3329,0.3313,0.3223,0.2962,0.2718,0.2488,0.2267,0.2065,0.1962,0.1868,,0.3306,0.3364,0.3249,0.3146,0.3212,0.2625,0.2433,0.2148,0.2034,0.1894,0.1898,,0.3363,0.3255,0.3267,0.3179,0.2882,0.2643,0.253,0.2306,0.2016,0.197,0.1887,
0.3523,0.3425,0.3386,0.3157,0.3092,0.2635,0.2474,0.2158,0.2041,0.2026,0.1927,,0.3557,0.337,0.3353,0.3264,0.2989,0.2752,0.2517,0.2293,0.207,0.1968,0.1855,,0.334,0.3414,0.3279,0.3178,0.3203,0.266,0.2453,0.2155,0.2043,0.1895,0.189,,0.3405,0.329,0.3303,0.3216,0.2934,0.2681,0.2557,0.232,0.2021,0.1968,0.1893,
0.3589,0.346,0.3428,0.3201,0.3139,0.2667,0.2494,0.2154,0.2051,0.2025,0.193,,0.3595,0.3428,0.3398,0.3293,0.304,0.2782,0.2538,0.2317,0.2077,0.1973,0.1862,,0.3392,0.3438,0.3323,0.3211,0.3255,0.2685,0.2492,0.2169,0.2054,0.1898,0.1891,,0.3436,0.3329,0.3345,0.3267,0.2949,0.2697,0.2591,0.2332,0.2032,0.1976,0.1891,
0.3627,0.3509,0.3479,0.3244,0.3161,0.2696,0.2518,0.2179,0.2046,0.2029,0.1947,,0.3638,0.3441,0.3434,0.3334,0.3062,0.2819,0.2562,0.2316,0.2089,0.198,0.1866,,0.3409,0.3471,0.3344,0.3261,0.3288,0.2724,0.2487,0.2182,0.2057,0.1903,0.1899,,0.3474,0.3383,0.3388,0.3291,0.2996,0.2733,0.261,0.2349,0.2049,0.1982,0.1897,
0.3642,0.3526,0.3483,0.3395,0.3193,0.2716,0.2538,0.2189,0.2051,0.2034,0.1939,,0.3668,0.3494,0.3459,0.3387,0.311,0.2836,0.2585,0.233,0.209,0.199,0.1873,,0.3451,0.3501,0.3392,0.3279,0.3323,0.2748,0.2535,0.2206,0.2071,0.1907,0.1901,,0.3519,0.3405,0.3405,0.3316,0.3011,0.2758,0.2631,0.2364,0.2048,0.1998,0.1901,
0.3675,0.3565,0.3567,0.3302,0.3229,0.2745,0.2556,0.2208,0.206,0.2049,0.1947,,0.3695,0.3501,0.3486,0.3387,0.3124,0.2862,0.2625,0.2346,0.2102,0.1985,0.1882,,0.348,0.3533,0.3407,0.331,0.3347,0.2763,0.2529,0.2205,0.2077,0.1915,0.1908,,0.3541,0.3429,0.3436,0.3356,0.3049,0.2785,0.2653,0.2373,0.2056,0.1999,0.1904,
0.3714,0.3598,0.3545,0.333,0.326,0.2777,0.2582,0.2216,0.2066,0.2042,0.1956,,0.373,0.3559,0.3519,0.3429,0.317,0.2895,0.2629,0.2363,0.2117,0.1994,0.1893,,0.3506,0.3571,0.3448,0.3341,0.3384,0.2798,0.2578,0.2216,0.2092,0.1927,0.1911,,0.3568,0.3461,0.3468,0.3399,0.3078,0.2806,0.2671,0.2398,0.2075,0.1999,0.1908,
0.3758,0.363,0.3578,0.3356,0.3296,0.2797,0.2605,0.2223,0.2079,0.2054,0.1951,,0.3777,0.3558,0.3548,0.3449,0.3186,0.2922,0.2649,0.2387,0.2119,0.2002,0.188,,0.3538,0.3593,0.3475,0.3372,0.3403,0.2809,0.2598,0.2231,0.2097,0.1968,0.1914,,0.3598,0.3493,0.3493,0.3412,0.3105,0.284,0.2692,0.2415,0.2087,0.2009,0.1908,
0.3784,0.365,0.3698,0.3381,0.3316,0.283,0.2623,0.2241,0.2093,0.2063,0.1973,,0.3795,0.3591,0.3591,0.3493,0.321,0.2945,0.267,0.2391,0.2128,0.201,0.1897,,0.3565,0.3625,0.3499,0.3399,0.3431,0.2836,0.2649,0.2248,0.2101,0.1926,0.1917,,0.3631,0.3509,0.3525,0.3438,0.314,0.2864,0.2726,0.2469,0.2085,0.2023,0.1916,
0.3808,0.3684,0.3634,0.3414,0.3356,0.2859,0.264,0.2269,0.2088,0.2066,0.1955,,0.3817,0.3612,0.3631,0.3505,0.3239,0.2974,0.269,0.2408,0.2142,0.2008,0.1893,,0.3597,0.3652,0.3522,0.343,0.3462,0.2856,0.2613,0.2258,0.2107,0.1932,0.1832,,0.3655,0.3541,0.3545,0.3486,0.3163,0.2891,0.2739,0.2439,0.209,0.202,0.1919,
0.3838,0.3704,0.3659,0.3445,0.3376,0.2907,0.2669,0.2272,0.2117,0.2073,0.1962,,0.3857,0.3643,0.3631,0.353,0.327,0.3,0.2725,0.2423,0.2147,0.2023,0.1901,,0.3693,0.3681,0.3546,0.3458,0.3492,0.2886,0.2641,0.2304,0.2116,0.1975,0.1883,,0.369,0.3561,0.357,0.3506,0.3182,0.292,0.2761,0.2454,0.2101,0.2023,0.1925,
0.3867,0.3735,0.3688,0.3482,0.3405,0.2902,0.2685,0.2281,0.2119,0.2072,0.1968,,0.3874,0.3683,0.3657,0.3565,0.3296,0.3023,0.2745,0.2434,0.2152,0.2023,0.1897,,0.3645,0.3726,0.3574,0.3495,0.3556,0.2909,0.2662,0.2291,0.2124,0.1944,0.1869,,0.3711,0.3587,0.3596,0.3524,0.3203,0.293,0.2789,0.2473,0.211,0.2029,0.1926,
0.3906,0.3758,0.3712,0.3485,0.3434,0.2949,0.2703,0.2302,0.2126,0.2074,0.1972,,0.3898,0.3696,0.3687,0.3588,0.3335,0.3044,0.2759,0.2449,0.2174,0.2028,0.1908,,0.3679,0.3744,0.3596,0.3501,0.3546,0.2955,0.2674,0.23,0.213,0.1953,0.1895,,0.3737,0.3606,0.3621,0.354,0.3232,0.2957,0.281,0.2505,0.2112,0.2035,0.1929,
0.3911,0.379,0.374,0.3517,0.3458,0.2946,0.2729,0.2304,0.2123,0.2082,0.1972,,0.3952,0.3718,0.3703,0.3612,0.3358,0.3072,0.2775,0.2462,0.2173,0.2028,0.1916,,0.3699,0.3749,0.3615,0.3529,0.3573,0.2952,0.27,0.2321,0.2164,0.1961,0.192,,0.3753,0.3655,0.3645,0.3572,0.3253,0.2978,0.2825,0.2492,0.2122,0.2041,0.1941,
0.3971,0.3816,0.3805,0.3535,0.3484,0.2965,0.2754,0.2329,0.2141,0.2094,0.1983,,0.3959,0.3737,0.3723,0.3633,0.3382,0.3093,0.28,0.2481,0.2179,0.2033,0.1913,,0.3723,0.3772,0.3648,0.3552,0.3594,0.2978,0.2718,0.2329,0.2157,0.1962,0.1927,,0.3852,0.3681,0.3663,0.3598,0.3279,0.3004,0.2851,0.2504,0.2134,0.2045,0.1942,
0.3966,0.3827,0.3827,0.3553,0.3502,0.2991,0.2764,0.2334,0.2142,0.2093,0.1985,,0.3965,0.3757,0.3745,0.3661,0.34,0.3149,0.2818,0.2497,0.2185,0.204,0.1917,,0.3743,0.3876,0.3661,0.3573,0.3618,0.2995,0.2733,0.2338,0.2165,0.196,0.1935,,0.3803,0.3674,0.3682,0.3609,0.3301,0.3026,0.2869,0.2518,0.2138,0.2063,0.1944,
0.3989,0.3845,0.3799,0.3575,0.3528,0.3011,0.2787,0.2342,0.2159,0.2098,0.1991,,0.4006,0.3774,0.3767,0.3673,0.3424,0.3179,0.2839,0.2505,0.2196,0.2053,0.1922,,0.3757,0.3823,0.3681,0.36,0.3645,0.302,0.2753,0.2358,0.2161,0.1973,0.1958,,0.3825,0.3693,0.3703,0.3628,0.3327,0.3047,0.2887,0.2535,0.2151,0.2059,0.1944,
